lz: 92.796616099250798015 Vol: 1253651.2628348153085 PE: -398736.190906767  Pxx: 0.35848252247009 Pyy: -0.000222695358363895 Pzz: -2.54159909570749 
lz: 92.692932729307500495 Vol: 1253563.7122496108059 PE: -398741.159213468  Pxx: 0.306887363679033 Pyy: 0.000578929364747159 Pzz: -2.58741089019714 
lz: 92.589249359364202974 Vol: 1252553.2104960919823 PE: -398732.95731443  Pxx: 0.246032010560763 Pyy: -0.000223346653501963 Pzz: -2.68600938587574 
lz: 92.485565989420905453 Vol: 1252067.0581827729475 PE: -398727.788410911  Pxx: 0.177270611021913 Pyy: -0.000896167316497998 Pzz: -2.76319755610628 
lz: 92.381882619477607932 Vol: 1251754.4376217629761 PE: -398726.667196812  Pxx: 0.113246253667919 Pyy: 0.000264893287391389 Pzz: -2.8004705306753 
lz: 92.2781992495342962 Vol: 1251431.9145143502392 PE: -398722.829727657  Pxx: 0.0505835104270234 Pyy: -0.000377145291073699 Pzz: -2.85843391744347 
lz: 92.174515879590998679 Vol: 1250851.8597483588383 PE: -398714.446183615  Pxx: 0.00638738414419307 Pyy: -0.000571333547081708 Pzz: -2.91293417821385 
lz: 92.070832509647701158 Vol: 1250730.0056481892243 PE: -398715.783786109  Pxx: -0.0219975262358837 Pyy: 0.000646853425290928 Pzz: -2.95910788722258 
lz: 91.967149139704389427 Vol: 1250373.1897987609264 PE: -398726.228250335  Pxx: -0.0350686540707986 Pyy: -0.000459424280820867 Pzz: -2.86351902331116 
lz: 91.863465769761091906 Vol: 1249806.3286104397848 PE: -398729.878354496  Pxx: -0.0272094572507887 Pyy: -0.000178227866690603 Pzz: -2.88660750867323 
lz: 91.759782399817794385 Vol: 1248974.622693443438 PE: -398729.202508006  Pxx: -0.0103588310509975 Pyy: -0.00122732363187668 Pzz: -2.90904261492666 
lz: 91.656099029874496864 Vol: 1248725.7539053403307 PE: -398726.258416284  Pxx: 0.0279416839625611 Pyy: -0.000586618024444241 Pzz: -2.94453543849162 
lz: 91.552415659931199343 Vol: 1247782.548441761639 PE: -398707.865120012  Pxx: 0.0839760311090756 Pyy: -0.00127585316591362 Pzz: -3.02499574550991 
